transaction_id,posted_date,account_id,currency,amount_minor,description,transaction_type
SYN-00835,2026-01-01,AED-SYNTH-001,AED,-10847,BREW-LAB,debit
SYN-00834,2026-01-03,AED-SYNTH-001,AED,-13577,OrbitFuel Station,debit
SYN-00837,2026-01-03,AED-SYNTH-001,AED,-2999,STREAMBOX MONTHLY,debit
SYN-00830,2026-01-04,AED-SYNTH-001,AED,-13115,ORBIT FUEL,debit
SYN-00825,2026-01-06,AED-SYNTH-001,AED,-3988,PXLBKS,debit
SYN-00831,2026-01-06,AED-SYNTH-001,AED,-3936,QKCRT*ONLINE,debit
SYN-00838,2026-01-06,AED-SYNTH-001,AED,-12999,ATLAS COVER ANNUAL,debit
SYN-00836,2026-01-15,AED-SYNTH-001,AED,-13791,HBR PHARM,debit
SYN-00832,2026-01-17,AED-SYNTH-001,AED,-12297,OrbitFuel Station,debit
SYN-00826,2026-01-19,AED-SYNTH-001,AED,-5615,MetroMart POS,debit
SYN-00828,2026-01-20,AED-SYNTH-001,AED,-10569,ORBIT-FUEL,debit
SYN-00824,2026-01-22,AED-SYNTH-001,AED,-9340,Quick Cart,debit
SYN-00833,2026-01-24,AED-SYNTH-001,AED,-14015,HBR PHARM,debit
SYN-00829,2026-01-25,AED-SYNTH-001,AED,-18406,Harbor Pharm,debit
SYN-00823,2026-01-26,AED-SYNTH-001,AED,-947,HARBOR PHARMACY,debit
SYN-00827,2026-01-26,AED-SYNTH-001,AED,-3056,PixelBooks Online,debit
SYN-00821,2026-01-27,AED-SYNTH-001,AED,-3927,HBR PHARM,debit
SYN-00822,2026-01-27,AED-SYNTH-001,AED,-18054,ORBIT FUEL,debit
